timestamp_ms,mag_x_ut,mag_y_ut,mag_z_ut
11387,-45.8313,-5.0903,10.3577
11397,-46.2830,-5.3589,9.7778
11407,-46.6675,-5.8044,9.3140
11417,-47.4121,-6.3904,9.0210
11427,-47.7783,-6.8542,8.5327
11437,-48.4375,-7.3669,7.9224
11447,-48.7122,-7.7515,7.4585
11457,-49.5117,-8.2397,6.4331
11467,-49.9939,-8.7463,5.6885
11477,-50.8667,-9.2407,4.7241
11487,-51.2634,-9.5886,3.9917
11497,-51.9897,-9.8267,2.6611
11507,-52.3193,-9.8755,1.6724
11517,-52.8992,-9.9548,0.4333
11527,-53.2837,-10.2722,-0.6042
11537,-53.7415,-10.4187,-1.4893
11547,-54.1260,-10.8276,-2.8137
11557,-54.5776,-10.9741,-3.8696
11567,-54.9011,-11.0474,-4.9561
11577,-55.4077,-11.2549,-6.1707
11587,-55.5908,-11.6150,-7.5928
11597,-55.9265,-12.0361,-8.9355
11607,-56.0974,-12.4084,-9.9609
11617,-56.4087,-12.9517,-11.1633
11627,-56.6772,-13.6841,-12.4329
11637,-56.8359,-14.1846,-13.7329
11647,-56.9458,-14.7339,-14.9719
11657,-57.0679,-15.3198,-16.1194
11667,-57.1411,-15.5823,-17.3706
11677,-57.1228,-16.0217,-18.5303
11687,-57.1716,-16.4612,-19.8975
11697,-57.2144,-16.8091,-21.0510
11707,-57.1289,-17.1448,-21.8079
11717,-57.0740,-17.5049,-22.9309
11727,-56.8115,-18.0359,-23.5657
11737,-56.8176,-18.5913,-25.0000
11747,-56.4392,-19.1711,-25.7568
11757,-56.3293,-19.6655,-26.9714
11767,-55.6580,-20.6726,-29.8950
11777,-55.1758,-21.1914,-31.7871
11787,-54.6021,-21.8079,-33.2520
11797,-53.9246,-22.4060,-34.8633
11807,-53.0396,-22.6990,-36.9812
11817,-52.4170,-23.1689,-38.8428
11827,-51.6113,-23.3459,-40.2771
11837,-50.5676,-23.7915,-41.9922
11847,-49.5789,-24.3896,-43.4448
11857,-48.4558,-24.7620,-45.1477
11867,-47.2717,-25.5432,-46.8323
11877,-46.0571,-26.2939,-48.4863
11887,-44.7693,-26.9775,-49.6399
11897,-43.2373,-27.5146,-51.3916
11907,-41.7664,-27.7161,-52.9175
11917,-40.4480,-28.1067,-54.0894
11927,-39.1846,-28.2104,-55.0049
11937,-38.3057,-28.2593,-55.5969
11947,-37.2192,-27.8015,-56.5002
11957,-36.1755,-27.6123,-57.4829
11967,-35.2783,-27.5452,-57.9895
11977,-34.4727,-27.7771,-58.4290
11987,-33.6792,-27.9663,-58.9050
11997,-32.7332,-27.7710,-59.5459
12007,-31.6589,-27.8931,-60.1074
12017,-30.5359,-27.7893,-61.1206
12027,-29.3274,-27.5696,-61.3647
12037,-27.9053,-27.3621,-62.0056
12047,-26.5259,-27.3010,-62.6038
12057,-25.3296,-26.8250,-63.2324
12067,-24.3652,-26.6479,-63.5376
12077,-23.1934,-26.3000,-63.8367
12087,-22.3022,-25.6653,-64.0930
12097,-21.3135,-25.4639,-64.3372
12107,-20.3979,-24.8474,-64.8499
12117,-19.4702,-24.6155,-65.0024
12127,-18.5852,-24.4019,-65.2161
12137,-17.7795,-24.1882,-65.4541
12147,-16.6931,-24.1333,-65.3015
12157,-15.8569,-23.7976,-65.8630
12167,-14.7888,-23.9502,-66.0217
12177,-13.8245,-24.0051,-66.1499
12187,-12.8357,-24.1394,-66.1621
12197,-11.9812,-24.1516,-66.0461
12207,-10.8032,-24.1150,-66.3574
12217,-9.7412,-23.8342,-66.5283
12227,-8.5632,-23.7549,-66.5955
12237,-6.0486,-23.0591,-66.4978
12247,-4.7791,-23.1079,-66.5710
12257,-3.4241,-22.9492,-66.3147
12267,-2.3132,-22.9370,-65.9790
12277,-0.9094,-22.7478,-66.1743
12287,0.1953,-22.6807,-65.6555
12297,1.3672,-22.5586,-65.6067
12307,2.2827,-22.5830,-65.3809
12317,3.1494,-22.7783,-65.1855
12327,3.9429,-22.6318,-64.7949
12337,4.7668,-22.0947,-64.8865
12347,5.5420,-21.6064,-64.5447
12357,6.4819,-21.2524,-64.2273
12367,7.4158,-20.6299,-63.8794
12377,8.3130,-20.2820,-63.2629
12387,9.2896,-19.7632,-63.0493
12397,10.0952,-19.4763,-62.5977
12407,10.8032,-19.5129,-62.3779
12417,11.4990,-19.8059,-61.8835
12427,11.8469,-20.2271,-62.0422
12437,12.4146,-21.2158,-61.9690
12447,12.5916,-22.5159,-61.4807
12457,12.9211,-23.8281,-61.7249
12467,13.3179,-25.3845,-61.4868
12477,13.4338,-26.8799,-61.5295
12487,13.9160,-28.1372,-61.5173
12497,14.1296,-29.3396,-61.0413
12507,14.4958,-30.1819,-60.9558
12517,14.8926,-31.1523,-60.4675
12527,15.3320,-31.8176,-60.3271
12537,15.5396,-32.7759,-60.0708
12547,15.6982,-33.4595,-59.5154
12557,16.0767,-34.2102,-59.3628
12567,16.4429,-35.1135,-58.9294
12631,18.2068,-38.0737,-57.2021
12641,18.4875,-38.3606,-56.9092
12651,18.8232,-38.7512,-56.4209
12661,19.0674,-39.5081,-55.8167
12671,19.3542,-40.3992,-55.6335
12681,19.8669,-41.2598,-54.7974
12691,20.1477,-42.0898,-54.4922
